"Identification.id","Identification.Name","Identification.Year","Physical.Absolute Magnitude","Physical.Size.Minimum Estimated Diameter","Physical.Size.Maximum Estimated Diameter","Physical.Hazardous","Approach.Miss Distance","Approach.Relative Velocity","Orbital.Orbiting Body"
"2466508","466508 (2014 GY48)","2014","18.72","0.4792421155","1.071617948","True","59565423.81061171","103693.2291164858","Earth"
"54224167","(2021 WO1)","2021","22.44","0.0864082036","0.1932146172","True","35886402.4194388","62977.1393823332","Earth"
"3724212","(2015 OM)","2015","20.6","0.2016299194","0.4508582062","True","15262891.567785444","98535.8220049584","Earth"
"2501243","501243 (2013 VG13)","2013","21.73","0.1198270801","0.2679414966","True","56999695.171573885","33114.7883063815","Earth"
"54222424","(2021 VR27)","2021","21.81","0.1154928176","0.258249791","True","10068662.305388007","25343.5599459342","Earth"
"3786460","(2017 UF)","2017","27.9","0.0069912523","0.0156329154","True","381004.38239459","83064.3710986966","Earth"
"54073358","(2020 TT7)","2020","22.27","0.0934447651","0.2089488469","True","37142925.119654186","14180.5868002794","Earth"
"3795124","(2017 YF7)","2017","23.6","0.0506471459","0.1132504611","True","60056574.38200607","22062.1990019829","Earth"
"3683806","(2014 QO296)","2014","20.14","0.2492039814","0.5572370428","True","18276986.43066847","32635.8266771774","Earth"
"54235525","(2022 AP1)","2022","28.39","0.0055789822","0.0124749835","True","4834555.322216368","35803.5462546664","Earth"
"54144375","(2021 JA4)","2021","22.29","0.0925880583","0.2070331923","True","53048778.279722765","53322.2838470758","Earth"
"2068950","68950 (2002 QF15)","2002","16.39","1.4013769717","3.1335741707","True","61607758.809977494","92535.7695200683","Earth"
"3610526","(2012 TO139)","2012","19.87","0.2821986791","0.6310154296","True","49234962.00140971","153303.5653821623","Earth"
"2140039","140039 (2001 SO73)","2001","18.08","0.6435095206","1.4389310323","True","31629200.44924689","43488.5634586303","Earth"
"2234145","234145 (2000 EW70)","2000","21.58","0.1283970296","0.2871044863","True","54062559.18261728","42906.0357354625","Earth"
"3748517","(2016 FT14)","2016","24.69","0.0306587876","0.0685551332","True","52303064.537722275","42117.778768293","Earth"
"3114027","(2002 CD14)","2002","20.42","0.219055911","0.4898239078","True","7853602.29347043","59023.7194863931","Earth"
"3137721","(2002 SQ41)","2002","20.26","0.235806068","0.5272783976","True","42558570.314853795","125079.1682591304","Earth"
"3065518","(2000 UY33)","2000","22.3","0.0921626549","0.2060819612","True","37463577.27823404","52420.2755498136","Earth"
"2175706","175706 (1996 FG3)","1996","18.32","0.5761757511","1.2883681464","True","17397428.34204662","52160.9894658094","Earth"
"54005703","(2020 DA4)","2020","25.59","0.0202560601","0.0452939273","True","66130770.56904428","80389.6141173822","Earth"
"54100284","(2020 XZ5)","2020","25.7","0.0192555078","0.0430566244","True","62648252.40221219","17881.2457428441","Earth"
"3016524","(1998 XD12)","1998","20.96","0.1708263953","0.3819794322","True","20848507.349634822","81081.5778647438","Earth"
"3160748","(2003 SW130)","2003","29.1","0.0040230458","0.0089958039","True","53767473.55433681","43320.0243873128","Earth"
"3293832","(2005 TF49)","2005","19.05","0.4116754573","0.9205343072","True","24190689.400196493","46310.8189480488","Earth"
"2419880","419880 (2011 AH37)","2011","19.83","0.2874451443","0.6427468824","True","71746942.34415221","104275.3386779093","Earth"
"3160737","(2003 SK84)","2003","21.23","0.1508533561","0.3373183589","True","13256607.800076077","81319.2835331984","Earth"
"3703891","(2015 AR45)","2015","19.99","0.2670268771","0.5970902489","True","13295780.196812805","94525.2499306968","Earth"
"3610029","(2012 TF53)","2012","21.16","0.1557955241","0.3483693825","True","18341993.12293209","42636.1309561667","Earth"
"2679786","679786 (2020 QG3)","2020","21.21","0.152249185","0.3404395273","True","19695508.350151327","39750.438628521","Earth"
"2162567","162567 (2000 RW37)","2000","19.97","0.2694976463","0.602615057","True","69299376.51485214","20947.5914705855","Earth"
"54319881","(2022 UD8)","2022","24.32","0.0363542322","0.0812905344","True","62215630.69595385","59426.4084628039","Earth"
"3638237","(2013 JN7)","2013","21.0","0.1677084622","0.3750075218","True","16722386.219571548","55038.4179021968","Earth"
"3638288","(2013 JM14)","2013","21.6","0.1272198785","0.2844722965","True","41909735.61491296","66218.1017800374","Earth"
"3669016","(2014 HD3)","2014","20.4","0.2210828104","0.4943561926","True","65828668.56130422","71922.751574607","Earth"
"54017644","(2020 MA3)","2020","18.93","0.4350658314","0.9728367737","True","32912071.582948785","67084.0199952739","Earth"
"54407411","(2023 WX1)","2023","20.92","0.1740022951","0.38908096","True","32033928.9594533","46547.241260288","Earth"
"3675229","(2014 NG65)","2014","21.68","0.1226182113","0.2741826558","True","73284863.42496943","86239.738973538","Earth"
"3703792","(2015 BF)","2015","26.6","0.0127219879","0.0284472297","True","47559166.60183056","73341.2713410522","Earth"
"54017041","(2020 JK2)","2020","27.31","0.0091739206","0.0205135101","True","34845758.28686754","49767.1088798815","Earth"
"2359170","359170 (2009 CN5)","2009","19.95","0.2719912773","0.6081909854","True","59244393.64813395","84973.7053504523","Earth"
"3669221","(2014 HL123)","2014","22.39","0.0884209093","0.1977151638","True","49859151.57425206","47534.3244809114","Earth"
"54359399","(2023 KK1)","2023","20.3","0.2315021222","0.5176544822","True","46598240.88533489","84536.7823486757","Earth"
"2267221","267221 (2001 AD2)","2001","19.85","0.2848098313","0.6368541435","True","68011547.82741675","130560.7016280733","Earth"
"3102742","(2002 AS4)","2002","22.26","0.0938760865","0.2099133109","True","73195810.95451371","162739.0140343319","Earth"
"3710913","(2015 DB1)","2015","21.89","0.1113153296","0.2489086439","True","40078462.29633495","77563.3548310686","Earth"
"3735470","(2015 WA2)","2015","21.09","0.1608996045","0.3597824532","True","49957486.65238045","51683.9459562252","Earth"
"3836913","(2018 XD5)","2018","24.7","0.0305179233","0.0682401509","True","61346684.79599386","74274.6478457912","Earth"
"3447934","(2009 DR3)","2009","21.54","0.1307841086","0.2924421572","True","3325613.413268749","42814.8181682341","Earth"
"3710913","(2015 DB1)","2015","21.89","0.1113153296","0.2489086439","True","25172063.081070565","72661.4877604154","Earth"
"54051248","(2020 QV1)","2020","24.2","0.0384197891","0.0859092601","True","9494119.987099577","32658.3628457378","Earth"
"3753640","(2016 KR3)","2016","20.97","0.1700415193","0.3802243961","True","66496803.959558405","54446.322934076","Earth"
"3776549","(2017 NS5)","2017","20.77","0.1864468183","0.41690776","True","24459398.141475584","87948.8425557644","Earth"
"2439877","439877 (1999 XM141)","1999","19.69","0.3065878759","0.6855513317","True","29051581.995898265","65592.8005099086","Earth"
"2524522","524522 Zoozve (2002 VE68)","2002","20.54","0.2072788434","0.4634895841","True","53359026.02612241","73959.7726579104","Earth"
"3285301","(2005 OH3)","2005","26.0","0.0167708462","0.0375007522","True","2257149.537199736","12760.5433715275","Earth"
"3838104","(2019 CH1)","2019","21.22","0.1515496636","0.3388753497","True","29450283.6417562","102299.1021226872","Earth"
"2438955","438955 (2010 LN14)","2010","21.01","0.1669379118","0.3732845187","True","66493783.473844595","36020.0626453832","Earth"
"3690061","(2014 SH144)","2014","25.21","0.0241298697","0.0539560289","True","66980825.863331944","58975.3875816169","Earth"
"3615463","(2012 UK171)","2012","24.43","0.0345585074","0.0772751717","True","7095979.094958809","16620.2651996071","Earth"
"3774612","(2017 JF3)","2017","21.74","0.1192765246","0.2667104172","True","19837506.63339554","27121.7007827076","Earth"
"3648873","(2013 TB6)","2013","22.6","0.0802703167","0.1794898848","True","62922113.05477748","89341.087021362","Earth"
"3825168","(2018 LG4)","2018","27.0","0.0105816886","0.023661375","True","24567031.0264202","23068.1052254087","Earth"
"54160403","(2021 KX6)","2021","26.15","0.0156514644","0.0349977383","True","41411172.9328135","17885.651184537","Earth"
"3825489","(2018 MG7)","2018","21.39","0.1401376972","0.3133574171","True","50986550.95238734","66926.6034551748","Earth"
"3542519","(2010 PK9)","2010","21.81","0.1154928176","0.258249791","True","74596452.36810227","122589.0148106588","Earth"
"3485260","(2010 AF30)","2010","21.7","0.1214940408","0.2716689341","True","24309497.874341164","30241.327681755","Earth"
"2162120","162120 (1998 SH36)","1998","20.65","0.1970402621","0.4405954204","True","22943973.363952152","79874.4192075702","Earth"
"3781002","(2017 QC17)","2017","22.2","0.096506147","0.2157943048","True","21053110.336862583","65388.0446689082","Earth"
"3843131","(2019 NE2)","2019","21.09","0.1608996045","0.3597824532","True","36355575.46303295","61810.6613607792","Earth"
